problem,expected_szs,result,time_ms,steps,active_branches_max,csp_calls
NUM/NUM786^1.p,Theorem,thm,13,16.0,3.0,1.0
SEV/SEV376^5.p,CounterSatisfiable,csa,13,5.0,1.0,0.0
PUZ/PUZ102^5.p,Theorem,thm,13,12.0,2.0,1.0
SEU/SEU809^2.p,Theorem,thm,13,12.0,2.0,1.0
SEV/SEV014^5.p,Theorem,thm,13,2.0,1.0,0.0
PUZ/PUZ088^5.p,Theorem,thm,13,17.0,2.0,2.0
NUM/NUM805^5.p,CounterSatisfiable,csa,13,8.0,2.0,0.0
SEV/SEV341^5.p,CounterSatisfiable,csa,13,9.0,3.0,0.0
SET/SET615^5.p,Theorem,thm,13,4.0,1.0,0.0
SYO/SYO136^5.p,Theorem,thm,13,20.0,2.0,1.0
SET/SET628^5.p,Theorem,thm,13,14.0,2.0,1.0
SYO/SYO381^5.p,Theorem,thm,13,14.0,2.0,1.0
SYO/SYO143^5.p,Theorem,thm,14,17.0,1.0,1.0
SYO/SYO351^5.p,Theorem,thm,14,13.0,2.0,1.0
SET/SET634^5.p,Theorem,thm,14,4.0,1.0,0.0
NUM/NUM676^1.p,Theorem,thm,14,10.0,2.0,1.0
SEV/SEV342^5.p,CounterSatisfiable,csa,14,9.0,3.0,0.0
NUM/NUM729^1.p,Theorem,thm,14,12.0,2.0,1.0
SYO/SYO382^5.p,Theorem,thm,14,1.0,1.0,0.0
SYN/SYN355^5.p,Theorem,thm,14,18.0,3.0,1.0
SEV/SEV061^5.p,Theorem,thm,14,5.0,1.0,0.0
SEU/SEU808^2.p,Theorem,thm,14,13.0,2.0,1.0
SEV/SEV392^5.p,Theorem,thm,14,16.0,2.0,1.0
NUM/NUM806^5.p,CounterSatisfiable,csa,14,10.0,2.0,0.0
NUM/NUM791^1.p,Theorem,thm,14,18.0,3.0,1.0
NUM/NUM790^1.p,Theorem,thm,14,17.0,3.0,1.0
NUM/NUM728^1.p,Theorem,thm,14,12.0,2.0,1.0
SET/SET635^5.p,Theorem,thm,14,4.0,1.0,0.0
SET/SET609^5.p,Theorem,thm,14,4.0,1.0,0.0
SYO/SYO132^5.p,Theorem,thm,14,9.0,2.0,0.0
SEV/SEV286^5.p,Theorem,thm,14,11.0,1.0,0.0
SYO/SYO293^5.p,Theorem,thm,14,5.0,1.0,1.0
LCL/LCL732^5.p,Theorem,thm,15,10.0,1.0,0.0
SEV/SEV393^5.p,Theorem,thm,15,16.0,2.0,1.0
SET/SET045^5.p,Theorem,thm,15,12.0,2.0,1.0
SYO/SYO390^5.p,Theorem,thm,15,25.0,3.0,0.0
SYO/SYO099^5.p,Theorem,thm,15,17.0,2.0,1.0
SEU/SEU538^2.p,Theorem,thm,15,13.0,2.0,1.0
SYO/SYO368^5.p,Theorem,thm,15,27.0,3.0,0.0
SYO/SYO090^5.p,Theorem,thm,15,1.0,1.0,0.0
SEU/SEU536^2.p,Theorem,thm,15,12.0,2.0,1.0
SYN/SYN382^5.p,Theorem,thm,15,15.0,2.0,1.0
SYO/SYO154^5.p,Theorem,thm,15,17.0,3.0,1.0
NUM/NUM787^1.p,Theorem,thm,15,19.0,3.0,1.0
SEU/SEU537^2.p,Theorem,thm,16,11.0,2.0,1.0
SEU/SEU564^2.p,Theorem,thm,16,13.0,2.0,1.0
SEU/SEU504^2.p,Theorem,thm,16,12.0,1.0,1.0
SEU/SEU559^2.p,Theorem,thm,16,13.0,2.0,1.0
SEU/SEU812^2.p,Theorem,thm,16,13.0,2.0,1.0
SEV/SEV336^5.p,CounterSatisfiable,csa,16,28.0,6.0,0.0
SEU/SEU539^2.p,Theorem,thm,16,12.0,2.0,1.0
SYO/SYO214^5.p,Theorem,thm,16,5.0,1.0,0.0
SET/SET010^5.p,Theorem,thm,16,4.0,1.0,0.0
SEV/SEV351^5.p,CounterSatisfiable,csa,16,9.0,3.0,0.0
SEV/SEV373^5.p,CounterSatisfiable,csa,16,9.0,2.0,0.0
SET/SET171^5.p,Theorem,thm,16,4.0,1.0,0.0
SEU/SEU829^1.p,Theorem,thm,16,22.0,2.0,1.0
PUZ/PUZ146^1.p,Theorem,thm,16,26.0,2.0,1.0
SEV/SEV017^5.p,Theorem,thm,16,2.0,1.0,0.0
SEU/SEU828^1.p,Theorem,thm,16,13.0,2.0,1.0
SYO/SYO206^5.p,Theorem,thm,17,46.0,4.0,0.0
SYO/SYO220^5.p,Theorem,thm,17,9.0,1.0,1.0
NUM/NUM769^1.p,Theorem,thm,17,18.0,4.0,1.0
NUM/NUM747^1.p,Theorem,thm,17,13.0,2.0,1.0
SET/SET595^5.p,Theorem,thm,17,21.0,2.0,1.0
SET/SET626^5.p,Theorem,thm,17,15.0,2.0,1.0
SEU/SEU569^2.p,Theorem,thm,17,17.0,3.0,1.0
SYO/SYO153^5.p,CounterSatisfiable,csa,17,7.0,2.0,0.0
SEU/SEU661^2.p,Theorem,thm,17,8.0,1.0,0.0
SET/SET169^5.p,Theorem,thm,17,4.0,1.0,0.0
SEV/SEV405^5.p,Theorem,thm,17,10.0,2.0,1.0
SEV/SEV079^5.p,Theorem,thm,17,6.0,1.0,0.0
SET/SET183^5.p,Theorem,thm,18,24.0,3.0,1.0
SEU/SEU843^5.p,Theorem,thm,18,14.0,2.0,1.0
SEU/SEU845^5.p,Theorem,thm,18,20.0,2.0,1.0
SEV/SEV372^5.p,CounterSatisfiable,csa,18,12.0,2.0,0.0
SYO/SYO146^5.p,Theorem,thm,18,37.0,5.0,1.0
SEU/SEU533^2.p,Theorem,thm,18,17.0,2.0,1.0
SYO/SYO107^5.p,Theorem,thm,18,22.0,3.0,1.0
SYO/SYO311^5.p,Theorem,thm,18,7.0,2.0,0.0
SYO/SYO141^5.p,Theorem,thm,18,19.0,2.0,1.0
SEV/SEV232^5.p,Theorem,thm,18,1.0,1.0,0.0
LCL/LCL579^2.p,Theorem,thm,18,10.0,2.0,1.0
SYO/SYO305^5.p,Theorem,thm,19,21.0,4.0,1.0
NUM/NUM740^1.p,Theorem,thm,19,44.0,6.0,1.0
SYN/SYN360^5.p,Theorem,thm,19,19.0,2.0,1.0
SEV/SEV350^5.p,CounterSatisfiable,csa,19,23.0,4.0,0.0
NUM/NUM664^1.p,Theorem,thm,19,18.0,3.0,2.0
SYN/SYN999^1.p,Theorem,thm,19,14.0,2.0,1.0
SEV/SEV340^5.p,CounterSatisfiable,csa,19,20.0,4.0,0.0
SEU/SEU568^2.p,Theorem,thm,19,10.0,1.0,0.0
SYO/SYO104^5.p,Theorem,thm,19,38.0,3.0,1.0
SEU/SEU841^5.p,Theorem,thm,20,6.0,1.0,0.0
SYO/SYO159^5.p,Theorem,thm,20,24.0,3.0,1.0
SYO/SYO098^5.p,Theorem,thm,20,12.0,2.0,1.0
SEU/SEU547^2.p,Theorem,thm,20,9.0,1.0,0.0
SEU/SEU581^2.p,Theorem,thm,20,17.0,2.0,1.0
SYN/SYN983^1.p,Theorem,thm,20,54.0,5.0,0.0
SYO/SYO026^1.p,Theorem,thm,20,14.0,4.0,0.0
SEV/SEV346^5.p,CounterSatisfiable,csa,20,27.0,6.0,0.0
SEV/SEV371^5.p,CounterSatisfiable,csa,20,12.0,2.0,0.0
SEU/SEU697^2.p,Theorem,thm,21,5.0,1.0,0.0
SYN/SYN731^5.p,Theorem,thm,21,21.0,1.0,1.0
LCL/LCL579^1.p,Theorem,thm,21,12.0,2.0,1.0
LCL/LCL581^1.p,Theorem,thm,21,3.0,1.0,0.0
SYO/SYO300^5.p,Theorem,thm,21,6.0,1.0,1.0
SEV/SEV282^5.p,Theorem,thm,21,3.0,1.0,0.0
SEV/SEV396^5.p,Theorem,thm,21,37.0,4.0,1.0
SYO/SYO003^1.p,Theorem,thm,21,19.0,3.0,1.0
SEV/SEV258^5.p,Theorem,thm,22,13.0,2.0,0.0
SYO/SYO310^5.p,Theorem,thm,22,10.0,2.0,0.0
SYO/SYO308^5.p,Theorem,thm,22,30.0,4.0,1.0
SET/SET631^5.p,Theorem,thm,22,16.0,2.0,1.0
SET/SET067^1.p,Theorem,thm,22,5.0,1.0,0.0
SEV/SEV122^5.p,Theorem,thm,22,3.0,1.0,0.0
SYO/SYO257^5.p,Theorem,thm,22,9.0,1.0,1.0
SEV/SEV408^5.p,Theorem,thm,22,4.0,1.0,1.0
